date,runner,type,distance_km,race_name,location,time_seconds,notes
2026-04-26,max,tri,113.0,Peñíscola Half Ironman,Peñíscola,18900,Solid debut; cramps at km 8 run cost ~15 min
2026-03-22,max,run,21.1,Barcelona Half Marathon,Barcelona,5072,Negative split, last 5k at 3:55/km
2026-02-15,max,run,10.0,Cursa de Sant Antoni,Barcelona,2304,PB — finally under 38:30
2025-11-09,max,run,42.2,Valencia Marathon,Valencia,11325,Even split, no wall
2025-09-21,max,run,10.0,Cursa de la Mercè,Barcelona,2372,Hot day, conservative start
2025-06-22,max,tri,51.5,Garmin Barcelona Triathlon Olympic,Barcelona,8310,Solid Olympic debut; 2:18:30
2024-12-08,max,run,10.0,San Silvestre Vallecana,Madrid,2410,Cold but flat
2024-10-06,max,tri,113.0,Ironman 70.3 Marbella,Marbella,19540,First 70.3; learned to pace the bike
2026-04-26,marta,tri,113.0,Peñíscola Half Ironman,Peñíscola,21735,Strong bike, run was the limiter
2026-03-22,marta,run,21.1,Barcelona Half Marathon,Barcelona,6530,1:48:50 — first sub-1:50
2025-11-09,marta,run,10.0,Valencia Marathon 10K,Valencia,2658,Negative split
2025-05-04,marta,run,42.2,Lisbon Marathon,Lisbon,16020,4:27:00, first marathon
2026-04-26,carlos,tri,113.0,Peñíscola Half Ironman,Peñíscola,16722,2nd AG; 4:38:42
2026-03-22,carlos,run,21.1,Barcelona Half Marathon,Barcelona,4795,1:19:55, sub-1:20 breakthrough
2025-11-09,carlos,run,42.2,Valencia Marathon,Valencia,10270,2:51:10 BQ with 4 min buffer
2025-08-31,carlos,tri,226.2,Ironman Finland,Kuopio,26940,7:29:00 debut IM, dream day
2024-10-13,carlos,run,42.2,Chicago Marathon,Chicago,10455,2:54:15
